make[1]: Entering directory '/home/ablack/fprime-sw/Ref'
/usr/bin/gcc -o /home/ablack/fprime-sw/mk/bin/ncsl /home/ablack/fprime-sw/mk/tools/ncsl/ncsl.c
Module,                                       HAND,        AC,       XML,     TOTAL
Ref/Top,                                       342,       279,       780,      1401
Ref/RecvBuffApp,                               111,      1535,        90,      1736
Ref/SendBuffApp,                               176,      2354,       165,      2695
Ref/SignalGen,                                 171,      1290,        32,      1493
Ref/PingReceiver,                               80,      1192,        51,      1323
Svc/BufferAccumulator,                         280,      1757,        33,      2070
Svc/BufferLogger,                              447,      2445,        33,      2925
Svc/BufferManager,                             327,       893,        23,      1243
Svc/CmdDispatcher,                             237,      2910,       232,      3379
Svc/CmdSequencer,                             1820,      4322,        47,      6189
Svc/Seq,                                         0,       138,        13,       151
Svc/GndIf,                                       0,      1312,        48,      1360
Svc/ActiveRateGroup,                            92,      1121,        61,      1274
Svc/RateGroupDriver,                            69,       231,        25,       325
Svc/Sched,                                       0,       137,        12,       149
Svc/ComLogger,                                 261,      1462,        30,      1753
Svc/SocketGndIf,                               401,         0,         0,       401
Svc/BuffGndSockIf,                             270,       860,        25,      1155
Svc/TlmChan,                                   213,       766,        41,      1020
Svc/PassiveTextLogger,                           0,       152,        19,       171
Svc/PassiveConsoleTextLogger,                   76,         0,         0,        76
Svc/Time,                                        0,       140,        13,       153
Svc/Cycle,                                      68,       138,        13,       219
Svc/LinuxTime,                                  47,         0,         0,        47
Svc/ActiveLogger,                              513,      2358,       254,      3125
Svc/Fatal,                                       0,       137,        12,       149
Svc/PolyIf,                                      0,       161,        28,       189
Svc/PolyDb,                                     66,       255,        18,       339
Svc/PrmDb,                                     301,      1921,       155,      2377
Svc/Ping,                                        0,       137,        12,       149
Svc/Health,                                    201,      2210,       194,      2605
Svc/WatchDog,                                    0,       137,        12,       149
Svc/FileUplink,                                389,      1600,        27,      2016
Svc/FileDownlink,                              411,      1626,        44,      2081
Svc/AssertFatalAdapter,                        206,      1406,         6,      1618
Svc/FatalHandler,                               69,       139,        13,       221
Svc/FileManager,                               256,      2117,        24,      2397
Drv/DataTypes,                                  55,       138,        13,       206
Drv/BlockDriver,                                73,      1029,        70,      1172
Drv/GpioDriverPorts,                             0,       274,        16,       290
Drv/LinuxGpioDriver,                           317,      1169,        25,      1511
Drv/LinuxSerialDriver,                         352,      1284,        29,      1665
Drv/LinuxSpiDriver,                            163,       924,        23,      1110
Drv/SerialDriverPorts,                           0,       290,        29,       319
Drv/SpiDriverPorts,                              0,       143,        11,       154
Fw/FilePacket,                                 632,         0,         0,       632
Fw/Cfg,                                        226,         0,         0,       226
Fw/Buffer,                                       0,       456,        52,       508
Fw/Comp,                                       265,         0,         0,       265
Fw/Obj,                                        172,         0,         0,       172
Fw/Port,                                       367,         0,         0,       367
Fw/Cmd,                                        199,       442,        57,       698
Fw/Tlm,                                        275,       149,        20,       444
Fw/Prm,                                        143,       267,        40,       450
Fw/Log,                                        485,       330,        64,       879
Fw/Time,                                       277,       138,        13,       428
Fw/Com,                                         95,       143,        16,       254
Fw/ComFile,                                     84,         0,         0,        84
Fw/SerializableFile,                            91,         0,         0,        91
Fw/Types,                                     2191,         0,         0,      2191
Os,                                           2245,         0,         0,      2245
CFDP/Checksum,                                 139,         0,         0,       139
Utils/Hash,                                    330,         0,         0,       330
make[1]: Leaving directory '/home/ablack/fprime-sw/Ref'
